identifier,score,category,Domain Analysis For,Google PageRank,cPR Score,Domain Authority,Page Authority,Trust Flow,Trust Metric,Global Rank,Alexa USA Rank,Alexa Reach Rank,Spam Score,External Backlinks,Referring Domains,EDU Backlinks,EDU Domains,GOV Backlinks,GOV Domains,PR Quality,Canonical URL,Topic,Topic Value,Indexed URLs,Citation Flow
foreignaffairs.com,87.5,Center,foreignaffairs.com,7,7.2,80,54,51,51,26060,9214,22018,1,2038271,31666,18924,690,1719,77,Very Strong,foreignaffairs.com/,Science/Social Sciences,48,314267,55
foreignpolicy.com,87.5,Center,foreignpolicy.com,8,8.3,89,65,45,45,15942,5422,12475,0,6543164,64605,21818,819,7525,99,Very Strong,foreignpolicy.com/,Science/Social Sciences,41,1789488,59
gallup.com,100,Center,gallup.com,7,8,87,61,68,68,12676,3034,14359,1,6178379,90363,21927,1238,1000,115,Very Strong,gallup.com/,Business/Marketing and Advertising,66,426491,72
govexec.com,87.5,Center,govexec.com,6,6.8,74,51,53,53,61592,15553,61114,1,2020121,14760,2821,205,758,94,Very Strong,govexec.com/,Science/Social Sciences,52,618286,58
globegazette.com,92.5,Center,globegazette.com,6,6.5,70,51,46,46,138653,27620,140150,1,220700,6761,976,113,58,15,Very Strong,globegazette.com/,News/Newspapers,46,5584860,40
goodnewsnetwork.org,100,Center,goodnewsnetwork.org,6,6.9,77,50,57,57,39903,10584,35193,1,474096,10124,152,52,1,1,Very Strong,goodnewsnetwork.org/,News/Alternative,57,235343,53
greenbaypressgazette.com,92.5,Center,greenbaypressgazette.com,6,6.5,71,50,56,56,125062,27261,108052,1,1140193,12073,8020,126,328,21,Very Strong,greenbaypressgazette.com/,News/Newspapers,53,1049000,61
greenvilleonline.com,100,Center,greenvilleonline.com,6,6.7,72,52,53,53,63790,10994,54901,1,9798654,14497,2761,124,642191,26,Very Strong,greenvilleonline.com/,News/Newspapers,53,1477608,59
hbr.org,100,Center,hbr.org,8,8.7,91,71,70,70,3938,1490,3165,1,22926958,159324,651320,1747,2498,174,Very Strong,hbr.org/,Business/Management,68,554765,75
herald-review.com,92.5,Center,herald-review.com,6,6.3,,,,,153383,27896,133803,1,,,,,,,,herald-review.com/,,,,
idahostatesman.com,100,Center,idahostatesman.com,6,7,76,53,59,59,58989,10530,51086,1,1861628,20060,2482,164,543,34,Very Strong,idahostatesman.com/,News/Newspapers,58,931842,57
helenair.com,85,Center,helenair.com,6,6.5,68,53,45,45,146291,28419,136990,2,848982,11035,2938,156,551,25,Very Strong,helenair.com/,News/Newspapers,45,116218,42
ivn.us,87.5,Center,ivn.us,6,6.1,64,49,28,28,422944,92803,342065,1,65589,4389,221,42,21,6,Very Strong,ivn.us/,Society/Politics,28,125112,45
dailybulletin.com,100,Center,dailybulletin.com,6,6.6,72,50,52,52,170035,35437,146395,1,1456852,9421,3822,79,1308,11,Very Strong,dailybulletin.com/,News/Newspapers,51,984779,54
investopedia.com,100,Center,investopedia.com,8,8.3,90,64,75,75,713,254,583,1,9729065,125583,12755,1015,524,105,Very Strong,investopedia.com/,Business/Investing,73,330602,79
jacksonsun.com,87.5,Center,jacksonsun.com,6,6.1,66,47,48,48,469376,102490,389847,0,146489,6035,18385,71,441,15,Very Strong,jacksonsun.com/,News/Newspapers,48,968710,49
jta.org,100,Center,jta.org,7,7.5,80,58,57,57,,,,1,6717155,19098,1542,225,237,21,Very Strong,jta.org/,Society/Religion and Spirituality,57,176526,53
knoxnews.com,100,Center,knoxnews.com,7,7.2,78,55,60,60,43966,7207,36877,2,2818394,25035,4978,224,4486,48,Very Strong,knoxnews.com/,News/Newspapers,59,540380,60
journalstar.com,100,Center,journalstar.com,7,7.1,74,57,52,52,36548,5618,33432,1,7489395,19612,2754,186,997,46,Very Strong,journalstar.com/,News/Newspapers,51,4001343,49
news-journal.com,95,Center,news-journal.com,6,6.1,65,48,23,23,164703,33349,194679,1,167555,7707,595,84,204,14,Very Strong,news-journal.com/,Games/Video Games/Simulation,20,66897,35
marketwatch.com,95,Center,marketwatch.com,8,8.6,93,66,76,76,948,242,846,1,41667963,179654,42743,1169,2352,163,Very Strong,marketwatch.com/,Business/News and Media,73,6026549,75
mcclatchydc.com,95,Center,mcclatchydc.com,7,7.3,82,54,60,60,50221,17264,38265,2,3230817,30489,6021,284,741,44,Very Strong,mcclatchydc.com/,News,60,976133,66
mentalfloss.com,95,Center,mentalfloss.com,8,8.4,89,66,41,41,3759,1092,2748,2,9192027,64982,15095,545,190,32,Very Strong,mentalfloss.com/,Arts/Illustration,28,285131,65
military.com,87.5,Center,military.com,7,7.9,85,62,71,71,11370,2387,9716,1,4343720,48739,9824,1174,6164,203,Very Strong,military.com/,Home/Family,68,721389,65
missoulian.com,92.5,Center,missoulian.com,7,7,74,56,51,51,108775,20458,97844,1,562684,16965,6696,201,506,37,Very Strong,missoulian.com/,News/Media Industry,50,6393170,45
mlive.com,87.5,Center,mlive.com,7,7.9,85,62,66,66,7474,1368,6595,3,7386452,67108,23860,494,5685,85,Very Strong,mlive.com/,News/Media Industry,62,4745427,66
mtstandard.com,92.5,Center,mtstandard.com,6,6.3,66,51,47,47,213799,50692,197759,2,7564296,23191,10901,189,264,37,Very Strong,mtstandard.com/,News/Media Industry,47,97086,40
napavalleyregister.com,87.5,Center,napavalleyregister.com,6,6.9,74,54,44,44,103072,19310,94994,1,321869,12694,2489,159,779,12,Very Strong,napavalleyregister.com/,News/Newspapers,42,161314,45
nwitimes.com,100,Center,nwitimes.com,7,7.1,77,54,51,51,49071,9283,48656,1,822620,19167,2640,208,2684,27,Very Strong,nwitimes.com/,News/Newspapers,50,6190737,46
patch.com,100,Center,patch.com,8,8.4,89,66,46,46,,80,376,1,11902320,105828,91724,865,588666,221,Very Strong,patch.com/,News/Media Industry,32,2146336,57
patheos.com,87.5,Center,patheos.com,7,7.8,87,58,65,65,8341,2238,7286,1,12201846,41204,4923,421,60,14,Very Strong,patheos.com/,Society/Religion and Spirituality,63,2367388,69
pnj.com,100,Center,pnj.com,6,6.5,71,50,50,50,,,,0,637586,12196,719,98,449,24,Very Strong,pnj.com/,News/Media Industry,48,837703,55
pewresearch.org,100,Center,pewresearch.org,8,8.3,89,65,75,75,14770,3130,11993,1,64684645,82086,18282,1249,754,123,Very Strong,pewresearch.org/,News/Journalism,71,554451,73
poconorecord.com,100,Center,poconorecord.com,6,6.2,67,48,50,50,282078,57741,245666,1,318779,7858,3024,94,776,18,Very Strong,poconorecord.com/,News/Media Industry,49,188653,45
politico.com,100,Center,politico.com,8,8.5,92,66,74,74,1161,249,941,1,35177309,124968,82654,1008,12452,149,Very Strong,politico.com/,News/Media Industry,73,1293004,89
politifact.com,100,Center,politifact.com,7,7.7,81,61,75,75,11239,2748,8989,1,10248314,43680,9098,830,384,33,Very Strong,politifact.com/,Society/Politics,74,195364,63
poynter.org,100,Center,poynter.org,7,7.4,79,58,68,68,55504,16416,47796,1,4154684,29530,12523,655,2191,22,Very Strong,poynter.org/,Arts/Illustration,67,882615,64
project-syndicate.org,87.5,Center,project-syndicate.org,7,7.2,,,,,49742,36908,45368,1,,,,,,,,project-syndicate.org/,,,,
qctimes.com,100,Center,qctimes.com,6,6.9,72,55,49,49,96440,19139,84035,1,1245395,13202,1985,167,254,35,Very Strong,qctimes.com/,News/Newspapers,48,6111599,44
rapidcityjournal.com,100,Center,rapidcityjournal.com,6,6.7,70,54,49,49,149201,31412,128691,1,618249,12762,1463,148,768,31,Very Strong,rapidcityjournal.com/,News/Newspapers,48,4236280,44
recode.net,100,Center,recode.net,8,8.3,89,64,49,49,16157,4145,12333,1,4332437,64225,4041,294,145,33,Very Strong,recode.net/,Computers/Internet/Searching,44,191863,69
relevantmagazine.com,90,Center,relevantmagazine.com,6,6.6,68,55,27,27,48575,12652,40623,1,603941,10182,529,89,0,0,Very Strong,relevantmagazine.com/,Society/Religion and Spirituality,26,106394,47
reuters.com,100,Center,reuters.com,9,9.2,95,75,87,87,659,291,544,1,356261969,440621,348034,2434,584713,686,Very Strong,reuters.com/,News,85,16914523,89
rollcall.com,100,Center,rollcall.com,7,7.2,78,55,61,61,29454,5861,23440,1,8165381,26192,3907,381,3587,50,Very Strong,rollcall.com/,News/Newspapers,59,261381,63
sandiegouniontribune.com,100,Center,sandiegouniontribune.com,7,7.7,87,55,56,56,20884,3871,17629,1,4763260,57422,18449,476,2843,75,Very Strong,sandiegouniontribune.com/,News/Newspapers,52,2406572,60
heraldtribune.com,100,Center,heraldtribune.com,6,6.9,74,54,58,58,64625,13086,54703,1,1887777,24876,4039,259,323,29,Very Strong,heraldtribune.com/,News/Newspapers,57,2093523,57
scotusblog.com,100,Center,scotusblog.com,6,7,75,54,65,65,53299,8412,48342,3,3059341,23483,17599,420,17817,55,Very Strong,scotusblog.com/,Society/Law,65,186681,64
shareably.net,77.5,Center,shareably.net,6,6.3,69,48,16,16,33551,15884,25446,0,66723,3233,4,2,0,0,Very Strong,shareably.net/,Society/Law,14,48074,36
siouxcityjournal.com,85,Center,siouxcityjournal.com,6,6.8,71,55,49,49,119973,21767,106371,1,527286,11816,1807,145,253,26,Very Strong,siouxcityjournal.com/,News/Newspapers,48,6015921,42
snopes.com,87.5,Center,snopes.com,8,8.6,90,69,72,72,3277,881,2598,1,5978446,87508,9299,994,229,80,Very Strong,snopes.com/,Society/Folklore,67,3200890,70
scmp.com,62,Center,scmp.com,8,8.1,90,60,62,62,3397,2740,2842,1,9993720,89036,387290,951,5460,112,Very Strong,scmp.com/,News/Newspapers,56,1244815,67
ny1.com,100,Center,ny1.com,6,7,76,53,57,57,58603,13291,54077,3,1377175,18578,2204,151,1447,26,Very Strong,ny1.com/,Business/Arts and Entertainment,56,231755,55
sctimes.com,100,Center,sctimes.com,6,6.3,69,47,49,49,132724,26241,127181,1,539739,7754,1340,73,228,14,Very Strong,sctimes.com/,News/Newspapers,49,1472605,53
stripes.com,100,Center,stripes.com,7,7.5,84,55,60,60,32886,7371,26329,1,1376938,30792,7064,276,4647,83,Very Strong,stripes.com/,News/Newspapers,59,597915,62
statnews.com,100,Center,statnews.com,7,7.1,79,52,44,44,33940,5682,27071,1,1165243,25888,26411,314,496,42,Very Strong,statnews.com/,Society/Politics,33,1946003,66
statesville.com,92.5,Center,statesville.com,5,5.5,60,42,25,25,441063,105329,401595,0,40719,2856,121,30,99,9,Very Strong,statesville.com/,Business,24,10499,25
taskandpurpose.com,100,Center,taskandpurpose.com,7,7,77,53,29,29,38753,9488,30883,0,876302,10264,561,78,974,17,Very Strong,taskandpurpose.com/,Society/Politics,26,91539,52
texastribune.org,100,Center,texastribune.org,7,7.1,77,54,49,49,29197,4734,27489,1,3929903,23368,5249,243,778,35,Very Strong,texastribune.org/,Society/Government,45,736054,67
auburnpub.com,92.5,Center,auburnpub.com,6,6.3,66,50,44,44,173268,30367,167110,1,428746,7430,884,119,643,16,Very Strong,auburnpub.com/,News/Newspapers,44,103105,40
baxterbulletin.com,92.5,Center,baxterbulletin.com,5,5.7,63,43,47,47,673885,134828,585541,1,105202,3744,147,36,38,9,Very Strong,baxterbulletin.com/,News/Newspapers,46,1154316,47
chronicle.com,100,Center,chronicle.com,7,8,83,66,41,41,15184,3000,12296,1,11070206,48880,461395,2422,2581,81,Very Strong,chronicle.com/,Reference/Education,32,153284,47
theconversation.com,87.5,Center,theconversation.com,8,8.6,89,71,77,77,3604,1960,2743,2,21413776,120038,836028,1727,21982,213,Very Strong,theconversation.com/,News,75,2468977,84
theday.com,100,Center,theday.com,6,6.5,68,52,53,53,121112,23797,109917,1,4730673,12253,2397,143,441,31,Very Strong,theday.com/,News/Newspapers,52,361729,48
dailygazette.com,100,Center,dailygazette.com,6,6.6,70,52,34,34,159467,31544,133750,1,402635,9625,2031,76,1055,16,Very Strong,dailygazette.com/,News/Newspapers,33,153030,45
dailyprogress.com,100,Center,dailyprogress.com,6,6.5,71,50,31,31,96945,17066,85656,1,822405,13494,1946,181,319,20,Very Strong,dailyprogress.com/,News/Newspapers,28,1077241,35
economist.com,100,Center,economist.com,8,8.7,93,68,72,72,2948,1445,2503,13,29070974,197219,845262,2456,5501,355,Very Strong,economist.com/,News,69,3361020,73
herald-dispatch.com,100,Center,herald-dispatch.com,6,6.3,68,48,25,25,226978,41407,192799,1,776711,9270,15285,111,257,30,Very Strong,herald-dispatch.com/,Reference/Education,21,141272,35
heraldsun.com,100,Center,heraldsun.com,6,6.4,69,49,51,51,220055,51751,181445,1,324048,10371,2230,101,1317,22,Very Strong,heraldsun.com/,News/Newspapers,51,398169,53
themarshallproject.org,100,Center,themarshallproject.org,6,6.3,70,47,45,45,114603,26111,96597,1,628111,8190,930,143,49,19,Very Strong,themarshallproject.org/,Society/Subcultures,39,16760,53
modbee.com,100,Center,modbee.com,6,6.6,72,50,55,55,89698,19194,75074,1,1437382,13560,2359,129,1474,19,Very Strong,modbee.com/,News/Media Industry,55,1453805,51
mcall.com,100,Center,mcall.com,7,7.3,81,55,57,57,43381,8056,35199,1,2562689,27391,4456,247,1017,42,Very Strong,mcall.com/,News/Newspapers,57,2546121,52
pantagraph.com,80,Center,pantagraph.com,6,6.5,70,51,51,51,72433,12341,73727,1,364906,12338,5946,157,212,19,Very Strong,pantagraph.com/,News/Newspapers,51,4988592,42
postandcourier.com,100,Center,postandcourier.com,6,7,76,53,56,56,47822,9459,38300,1,3446099,27505,11797,243,1346,54,Very Strong,postandcourier.com/,News/Newspapers,55,279414,53
syracuse.com,95,Center,syracuse.com,7,7.7,83,60,60,60,16418,2768,14634,2,3520663,40099,10869,360,1550,58,Very Strong,syracuse.com/,News/Newspapers,58,1745384,63
poststar.com,95,Center,poststar.com,6,6.5,68,52,47,47,54869,11842,50490,1,492852,9371,1413,118,579,17,Very Strong,poststar.com/,News/Media Industry,47,134662,42
cumberlink.com,92.5,Center,cumberlink.com,6,6.3,66,51,47,47,164446,34440,161946,1,889939,6680,1611,122,188,12,Very Strong,cumberlink.com/,News/Newspapers,46,154167,40
thesouthern.com,85,Center,thesouthern.com,6,6.4,67,51,43,43,199012,46544,181046,1,383314,7650,2851,124,119,16,Very Strong,thesouthern.com/,News/Media Industry,43,126793,42
mywebtimes.com,100,Center,mywebtimes.com,5,5.6,58,46,40,40,524158,97016,541690,1,82938,3412,347,58,44,7,Very Strong,mywebtimes.com/,Regional/North America,40,61524,42
thewrap.com,87.5,Center,thewrap.com,7,8,88,60,42,42,6396,1486,4726,1,10138642,46870,2838,186,19,8,Very Strong,thewrap.com/,Arts/Movies,37,765911,74
magicvalley.com,100,Center,magicvalley.com,6,6.5,68,52,46,46,159699,41613,153368,1,647522,8520,1212,99,255,17,Very Strong,magicvalley.com/,News/Newspapers,46,7977380,41
upi.com,82.5,Center,upi.com,8,8.2,89,62,69,69,17156,4174,13789,1,17211840,71689,18966,727,4722,112,Very Strong,upi.com/,News/Media Industry,68,3774477,76
gao.gov,100,Center,gao.gov,7,7.4,80,57,69,69,69197,14260,66968,0,3369081,44176,26549,889,142520,463,Very Strong,gao.gov/,Business/Accounting,69,382057,55
standard.net,92.5,Center,standard.net,6,6.5,71,50,52,52,118109,20717,124002,1,689335,11241,788,114,945,19,Very Strong,standard.net/,News/Newspapers,52,231919,46
viralthread.com,82,Center,viralthread.com,6,6.4,72,46,15,15,162172,67655,153845,3,44035,2866,6,4,0,0,Very Strong,viralthread.com/,Society/People,14,87430,35
voanews.com,100,Center,voanews.com,8,8.2,90,62,68,68,3097,2447,2811,1,22829009,82721,33214,1332,31858,218,Very Strong,voanews.com/,News,65,4483644,70
c-span.org,87.5,Center,c-span.org,7,7.9,86,60,76,76,18189,3525,14793,1,6564822,51226,28390,1142,9280,193,Very Strong,c-span.org/,News,70,2160892,70
wtop.com,100,Center,wtop.com,7,7.8,84,60,50,50,15488,3131,12929,1,2219629,42986,3891,263,278572,66,Very Strong,wtop.com/,News/Internet Broadcasts,49,566653,56
wcfcourier.com,100,Center,wcfcourier.com,6,6.6,69,53,47,47,,,,1,310333,10025,4279,147,117,14,Very Strong,wcfcourier.com/,News/Newspapers,47,3681857,42
wearethemighty.com,87.5,Center,wearethemighty.com,6,6.3,72,44,25,25,49274,11786,41624,1,150321,3858,166,18,194,7,Very Strong,wearethemighty.com/,Games/Video Games/Simulation,23,45717,46
madison.com,100,Center,madison.com,7,7.4,81,56,54,54,26621,5039,23491,1,5089267,31474,159025,309,3857,45,Very Strong,madison.com/,News/Newspapers,53,482803,51
wral.com,87.5,Center,wral.com,7,7.3,79,57,45,45,11884,2243,11038,3,11390342,32256,4539,233,3758,59,Very Strong,wral.com/,News/Weather,40,256141,46
al.com,100,Right Center,al.com,8,8.2,88,63,65,65,10669,1995,9372,2,6621942,55343,9343,396,4420,75,Very Strong,al.com/,News/Newspapers,61,3544248,67
abqjournal.com,100,Right Center,abqjournal.com,7,7.1,78,53,59,59,60924,11934,54878,1,1746822,24347,11898,236,691,57,Very Strong,abqjournal.com/,News/Newspapers,58,1681017,58
arabnews.com,39.5,Right Center,arabnews.com,7,7.4,79,58,55,55,15655,,13956,2,4184495,31281,1882,297,1012,65,Very Strong,arabnews.com/,News/Media Industry,55,540597,55
azcentral.com,100,Right Center,azcentral.com,8,8.2,89,62,68,68,5404,1395,4172,7,41813343,78362,16062,556,3487,116,Very Strong,azcentral.com/,News/Newspapers,65,1620381,69
arkansasonline.com,100,Right Center,arkansasonline.com,7,7.2,80,53,29,29,,,,1,1737412,19969,2207,182,1142,35,Very Strong,arkansasonline.com/,News/Newspapers,26,462651,47
billingsgazette.com,92.5,Right Center,billingsgazette.com,7,7.1,74,57,50,50,90286,18146,81727,1,1021372,19885,4265,232,1305,41,Very Strong,billingsgazette.com/,News/Newspapers,50,4527470,48
bostonherald.com,82.5,Right Center,bostonherald.com,7,8,87,61,65,65,17949,3804,15629,1,7261825,49396,6885,377,1961,61,Very Strong,bostonherald.com/,News/Newspapers,64,21533905,63
chicagotribune.com,100,Right Center,chicagotribune.com,8,8.7,93,68,70,70,2960,568,2343,1,24499101,184110,148621,1430,547325,189,Very Strong,chicagotribune.com/,News/Newspapers,62,4452456,67
christianitytoday.com,100,Right Center,christianitytoday.com,7,7.5,79,59,64,64,21522,5485,17501,1,5859880,33154,8401,475,2229,14,Very Strong,christianitytoday.com/,Society/Religion and Spirituality,63,583209,56
cincinnati.com,100,Right Center,cincinnati.com,7,7.7,84,58,47,47,21559,5038,17823,1,4158921,37510,4721,313,1418,73,Very Strong,cincinnati.com/,Society/Issues,36,1211801,69
circa.com,87.5,Right Center,circa.com,6,6.2,65,50,37,37,84986,16964,67565,0,1856536,5580,513,55,10,6,Very Strong,circa.com/,Arts/Television,35,207644,52
gazette.com,92.5,Right Center,gazette.com,7,7.1,75,57,57,57,54256,7920,52210,1,1223149,20687,6012,168,647,39,Very Strong,gazette.com/,News/Newspapers,56,197264,48
dispatch.com,100,Right Center,dispatch.com,7,7.5,82,57,62,62,41888,7482,35390,1,3183313,39992,9578,356,4125,79,Very Strong,dispatch.com/,News/Newspapers,62,739648,55
cfr.org,100,Right Center,cfr.org,7,7.5,82,57,71,71,,,,1,3693141,36544,26634,841,1646,100,Very Strong,cfr.org/,Society/Politics,71,1005451,64
dailyherald.com,100,Right Center,dailyherald.com,7,7.6,84,57,59,59,30545,5903,25042,2,4184983,35426,8220,338,77093,55,Very Strong,dailyherald.com/,News/Newspapers,59,1106638,54
dailypress.com,92.5,Right Center,dailypress.com,6,6.8,73,53,55,55,93335,18406,77014,3,1810618,17387,2527,182,1552,40,Very Strong,dailypress.com/,News/Newspapers,54,1645941,46
dallasnews.com,100,Right Center,dallasnews.com,8,8.2,90,62,60,60,9360,1862,7478,1,10330436,80339,19757,601,1566,95,Very Strong,dallasnews.com/,News/Newspapers,57,1240778,68
deseretnews.com,100,Right Center,deseretnews.com,7,7.9,88,59,56,56,11734,2129,9863,1,5323425,50811,10233,478,7331,71,Very Strong,deseretnews.com/,News/Newspapers,54,1128944,63
desertsun.com,100,Right Center,desertsun.com,6,6.7,75,49,48,48,,,,0,1220209,16376,5216,141,991,27,Very Strong,desertsun.com/,News/Newspapers,46,824648,63
detroitnews.com,100,Right Center,detroitnews.com,7,7.7,87,56,58,58,13511,2231,12971,0,6667494,51722,13422,430,2230,70,Very Strong,detroitnews.com/,News/Newspapers,56,1609441,71
duluthnewstribune.com,87.5,Right Center,duluthnewstribune.com,6,6.6,73,50,51,51,48362,8021,48828,1,881527,14442,3096,119,351,35,Very Strong,duluthnewstribune.com/,News/Newspapers,51,481747,56
faithfamilyamerica.com,39.5,Right Center,faithfamilyamerica.com,4,4.2,43,34,11,11,292333,61523,259392,0,8391,421,0,0,0,0,Moderate,faithfamilyamerica.com/,Health/Conditions and Diseases,10,1350917,38
jacksonville.com,100,Right Center,jacksonville.com,7,7.5,78,61,56,56,107821,19756,90460,3,2201751,25963,4458,223,537,34,Very Strong,jacksonville.com/,News/Newspapers,56,449064,47
forbes.com,95,Right Center,forbes.com,9,9.2,95,76,86,86,279,99,226,6,92715025,629434,704578,3421,7867,576,Very Strong,forbes.com/,Business/Investing,82,2108379,92
fortune.com,100,Right Center,fortune.com,8,8.8,93,70,66,66,3623,1051,2716,1,14238553,175678,31113,1365,812,165,Very Strong,fortune.com/,News/Current Events,60,294457,72
star-telegram.com,100,Right Center,star-telegram.com,7,7.4,81,56,61,61,30214,5707,25131,1,2127273,37198,7680,303,1175,55,Very Strong,star-telegram.com/,News/Newspapers,59,1169917,62
fee.org,87.5,Right Center,fee.org,7,7.2,74,59,57,57,31015,6741,26066,1,4943315,14057,435348,214,16,7,Very Strong,fee.org/,Society/Politics,56,142298,57
mlive.com,87.5,Right Center,mlive.com,7,7.9,85,62,66,66,7474,1368,6595,3,7386452,67108,23860,494,5685,85,Very Strong,mlive.com/,News/Media Industry,62,4745427,66
gulfnews.com,47,Right Center,gulfnews.com,8,8.1,86,64,58,58,8247,,7509,1,2966448,47510,9223,348,818,79,Very Strong,gulfnews.com/,News/Media Industry,58,797997,65
kutv.com,82.5,Right Center,kutv.com,6,6.9,74,54,47,47,35638,5016,30729,3,507750,13961,1073,63,584,17,Very Strong,kutv.com/,Arts/Television,46,375710,60
reviewjournal.com,100,Right Center,reviewjournal.com,7,7.6,84,56,64,64,,,,1,26580296,46812,3579,294,1095,59,Very Strong,reviewjournal.com/,News/Newspapers,64,4642993,70
dailynews.com,100,Right Center,dailynews.com,7,7.3,80,56,61,61,58069,11269,48373,1,3878690,30355,4791,260,3355,37,Very Strong,dailynews.com/,News/Newspapers,60,1083181,64
lynx.media,52,Right Center,lynx.media,3,3.1,33,25,5,5,,,,2,347,118,0,0,0,0,Moderate,lynx.media/,Society/Politics,4,3954,12
militarytimes.com,100,Right Center,militarytimes.com,7,7.2,78,55,56,56,,1376,6865,1,10365811,26698,11436,472,1121,77,Very Strong,militarytimes.com/,News/Media Industry,51,559052,64
mynorthwest.com,92.5,Right Center,mynorthwest.com,6,7,76,53,47,47,,,,0,3742148,12951,1952,85,1142,18,Very Strong,mynorthwest.com/,Arts/Radio,45,220658,52
nypost.com,95,Right Center,nypost.com,8,8.9,94,71,52,52,892,183,741,1,30778712,162873,15555,811,3888,113,Very Strong,nypost.com/,Business/Arts and Entertainment,46,3694459,64
news-gazette.com,92.5,Right Center,news-gazette.com,6,6.5,70,50,53,53,75805,14143,68729,1,659088,11579,5293,134,240,18,Very Strong,news-gazette.com/,News/Newspapers,50,242533,51
ntd.tv,65,Right Center,ntd.tv,6,6.5,70,51,20,20,244107,169468,207584,5,369101,4609,65,25,4,3,Very Strong,ntd.tv/,Arts/Television,19,58649,37
omaha.com,100,Right Center,omaha.com,7,7.3,79,57,55,55,22869,3426,21343,1,3070773,32311,4590,247,1763,69,Very Strong,omaha.com/,News/Newspapers,55,241901,43
ocregister.com,100,Right Center,ocregister.com,7,7.9,87,59,67,67,17707,2973,15417,1,9853898,57372,11782,389,4193,63,Very Strong,ocregister.com/,News/Newspapers,65,2115280,68
oregonlive.com,100,Right Center,oregonlive.com,8,8.1,88,62,70,70,,,,1,7746126,76976,28883,530,24301,105,Very Strong,oregonlive.com/,News/Media Industry,65,2860106,68
orlandosentinel.com,100,Right Center,orlandosentinel.com,7,7.8,85,59,67,67,20082,3604,17006,1,7079840,55773,16266,406,942,68,Very Strong,orlandosentinel.com/,News/Newspapers,66,3500261,58
post-gazette.com,100,Right Center,post-gazette.com,7,7.8,86,59,69,69,15371,2696,12358,1,8020910,66259,20733,661,1200,88,Very Strong,post-gazette.com/,News/Newspapers,67,1680110,66
triblive.com,100,Right Center,triblive.com,7,7.4,78,59,56,56,24209,4686,21708,1,6064501,31385,18212,306,2476,41,Very Strong,triblive.com/,News/Newspapers,52,1073271,63
postbulletin.com,100,Right Center,postbulletin.com,6,6.4,69,50,45,45,94900,19306,84184,1,512776,12532,1218,117,528,17,Very Strong,postbulletin.com/,News/Newspapers,45,64865,38
realclearinvestigations.com,70,Right Center,realclearinvestigations.com,5,4.9,53,38,19,19,,,,0,51932,1888,19,6,2,1,Very Strong,realclearinvestigations.com/,Society/Politics,16,2390,34
realclearpolitics.com,100,Right Center,realclearpolitics.com,7,8,85,63,38,38,,,,0,12402552,42760,28313,507,309,26,Very Strong,realclearpolitics.com/,Society/Politics,33,607486,52
reason.com,100,Right Center,reason.com,7,8,84,65,64,64,13263,2632,11112,1,9470689,46082,4934,440,467,30,Very Strong,reason.com/,Society/Politics,63,3602304,63
valleynewslive.com,92.5,Right Center,valleynewslive.com,6,6.1,66,47,23,23,98498,19409,87106,1,79993,6473,334,39,94,12,Very Strong,valleynewslive.com/,Reference/Education,20,893395,44
richmond.com,100,Right Center,richmond.com,6,7,76,53,33,33,30474,5577,27186,1,1467566,20871,6144,206,587,39,Very Strong,richmond.com/,Reference/Education,30,2307463,37
sbsun.com,100,Right Center,sbsun.com,6,6.5,71,49,52,52,157596,31707,136747,1,1855301,11165,11547,109,1208,23,Very Strong,sbsun.com/,News/Media Industry,51,1079530,55
savannahnow.com,100,Right Center,savannahnow.com,6,6.9,71,56,51,51,167907,36038,147467,8,746357,13390,3953,149,814,33,Very Strong,savannahnow.com/,News/Newspapers,51,302575,44
sun-sentinel.com,100,Right Center,sun-sentinel.com,7,7.8,87,58,66,66,16042,2929,13350,1,108978292,55932,7110,379,1346,68,Very Strong,sun-sentinel.com/,News/Newspapers,65,3628568,58
spokesman.com,100,Right Center,spokesman.com,7,7.3,81,55,56,56,37222,6900,32774,1,4061306,28335,4994,221,2726,50,Very Strong,spokesman.com/,News/Newspapers,55,2165969,65
star-telegram.com,100,Right Center,star-telegram.com,7,7.4,81,56,61,61,30214,5707,25131,1,2127273,37198,7680,303,1175,55,Very Strong,star-telegram.com/,News/Newspapers,59,1169917,62
statesmanjournal.com,100,Right Center,statesmanjournal.com,6,6.7,73,51,53,53,104160,20575,90327,1,1333359,13324,2329,133,388,27,Very Strong,statesmanjournal.com/,News/Newspapers,53,863126,61
tallahassee.com,100,Right Center,tallahassee.com,6,6.9,75,53,55,55,47058,9269,41143,1,1747260,18516,2311,168,373,29,Very Strong,tallahassee.com/,News/Newspapers,54,1951321,62
tbo.com,100,Right Center,tbo.com,7,7.5,80,58,27,27,1940021,597823,1616566,3,1540760,24997,3166,209,501,38,Very Strong,tbo.com/,News/Newspapers,22,301508,41
algemeiner.com,87.5,Right Center,algemeiner.com,6,6.8,76,50,28,28,126258,30065,107198,0,523446,12663,699,70,54,7,Very Strong,algemeiner.com/,Society/Issues,25,236420,56
theamericanconservative.com,100,Right Center,theamericanconservative.com,6,7,78,51,54,54,33984,8287,29916,1,2310619,17619,900,164,37,8,Very Strong,theamericanconservative.com/,Society/Politics,54,230679,55
